timestamp,event,open_type,user_id
1752250204033,opened,manual,1
1751836141616,closed,,2
1752304475081,closed,,3
1752498934494,opened,auto,4
1752141991110,closed,,5
1752308210458,opened,auto,3
1752310292657,opened,auto,3
1752276666919,closed,,6
1752158089077,opened,auto,5
1752174540366,opened,auto,7
1751903461681,opened,auto,8
1752185562588,opened,manual,9
1752149417333,closed,,10
1752147744069,closed,,11
1752565444943,closed,,12
1752250448647,closed,,6
1752308784555,closed,,3
1751599973655,opened,auto,13
1751826936388,opened,manual,2
1751836139906,opened,manual,2
1752308663561,closed,,3
1752212515578,closed,,12
1752671208220,opened,auto,14
1752174297285,opened,manual,7
1753152445852,opened,auto,15
1751999904728,opened,auto,16
1752197253240,closed,,17
1751979239369,closed,,18
1752097914423,closed,,19
1751942748915,opened,manual,20
1752071173885,opened,manual,21
1751875545291,opened,auto,22
1752039702261,closed,,23
1751987476329,closed,,10
1753109661340,opened,auto,24
1752711724445,closed,,25
1752326848713,closed,,26
1752727472649,opened,manual,25
1751731001515,opened,manual,27
1751896011697,opened,auto,28
1751881876378,closed,,29
1751880173142,opened,manual,29
1752653913807,opened,manual,14
1752071281032,opened,auto,30
1752082778913,opened,auto,31
1752143147099,closed,,5
1751849544609,closed,,1
1752254692286,closed,,32
1752312889900,opened,manual,33
1752066838672,closed,,34
1752596950822,closed,,6
1751860714217,opened,auto,22
1752321480371,opened,manual,35
1751720571768,closed,,27
1751880924878,closed,,29
1751885270572,opened,manual,36
1751877689300,opened,manual,22
1752800281834,opened,manual,37
1752048471212,closed,,38
1751897593656,closed,,28
1751676451399,closed,,39
1752367670226,opened,auto,40
1752276408368,opened,auto,40
1751654487727,closed,,39
1751616846006,closed,,41
1751772875120,opened,auto,42
1752664007176,opened,auto,43
1752652941369,opened,auto,43
1752654467256,opened,auto,43
1752670213659,opened,manual,44
1752485799332,opened,auto,14
1751656141008,opened,auto,2
1751973961388,opened,auto,8
1752543381770,closed,,12
1753016150445,opened,manual,28
1752679273549,closed,,45
1751687509583,closed,,46
1752065857322,closed,,34
1752063281916,opened,manual,34
1752676957073,opened,auto,12
1752070997349,closed,,30
1752052735900,closed,,47
1752026238575,opened,manual,48
1752662297528,closed,,10
1752063281097,closed,,34
1752484241662,opened,auto,14
1753237438333,closed,,15
1753236835184,opened,auto,15
1753256524182,opened,auto,15
1752676657024,opened,auto,49
1753106844951,closed,,1
1752333957817,opened,manual,50
1752150813588,closed,,45
1753088517616,opened,auto,51
